scaffold,start,end,mid,sites,pi_Species1,pi_Species2,dxy_Species1_Species2,Fst_Species1_Species2
1,100001,150000,124165,897,0.074,0.0858,0.3067,0.5769
1,150001,200000,176700,1277,0.0868,0.0685,0.322,0.5902
1,200001,250000,225384,1504,0.049,0.0909,0.2948,0.6212
1,250001,300000,277891,1729,0.023,0.1176,0.1935,0.499
1,300001,350000,318132,1785,0.0331,0.1081,0.2014,0.5023
1,350001,400000,375216,2783,0.0389,0.1069,0.2065,0.495
1,400001,450000,424293,3516,0.0631,0.1057,0.2055,0.4192
1,450001,500000,476028,1664,0.0459,0.1134,0.247,0.5258
1,500001,550000,526827,3055,0.0367,0.1137,0.1743,0.4166
1,550001,600000,573369,2637,0.0434,0.1204,0.1742,0.3761
1,600001,650000,621878,3179,0.0241,0.1289,0.1738,0.4205
1,650001,700000,676528,3622,0.0451,0.1383,0.1847,0.3543
1,700001,750000,737341,1837,0.0302,0.1261,0.1452,0.3238
1,750001,800000,778884,4309,0.0466,0.1252,0.1445,0.2669
1,800001,850000,821799,4154,0.0518,0.1102,0.1356,0.2592
1,850001,900000,877688,3852,0.0499,0.1105,0.1376,0.2715
1,900001,950000,925631,5160,0.0617,0.1061,0.132,0.2246
1,950001,1000000,974208,5039,0.0492,0.1103,0.1359,0.2689
1,1000001,1050000,1018016,2005,0.0447,0.1074,0.1193,0.2306
1,1050001,1100000,1077079,3372,0.0356,0.1052,0.1124,0.2432
1,1100001,1150000,1119146,2390,0.0365,0.1088,0.1187,0.2546
1,1150001,1200000,1175545,3864,0.0488,0.1106,0.1388,0.2795
1,1200001,1250000,1221334,3256,0.0563,0.1122,0.1498,0.286
1,1250001,1300000,1276879,2747,0.029,0.1367,0.1806,0.3999
1,1300001,1350000,1326848,4676,0.042,0.1124,0.151,0.3377
1,1350001,1400000,1375907,4693,0.0442,0.1084,0.1618,0.3715
1,1400001,1450000,1413852,2490,0.0452,0.1094,0.1508,0.3336
1,1450001,1500000,1481890,3041,0.0459,0.104,0.1587,0.3688
1,1500001,1550000,1525732,4437,0.0458,0.1182,0.1571,0.3269
1,1550001,1600000,1574306,4155,0.0511,0.1275,0.1633,0.3048
1,1600001,1650000,1626143,3178,0.0533,0.1377,0.1816,0.3237
1,1650001,1700000,1663737,1662,0.0323,0.1257,0.1773,0.4084
1,1700001,1750000,1727050,2984,0.0515,0.1232,0.1657,0.3206
1,1750001,1800000,1775093,3989,0.0429,0.1288,0.1792,0.3701
1,1800001,1850000,1826249,4425,0.0329,0.118,0.1638,0.3917
1,1850001,1900000,1873269,4124,0.0345,0.1155,0.1559,0.3706
1,1900001,1950000,1922996,3613,0.05,0.1153,0.1632,0.338
1,1950001,2000000,1975847,2568,0.0398,0.1147,0.1669,0.384
1,2000001,2050000,2023149,3885,0.0131,0.1237,0.1835,0.4996
1,2050001,2100000,2074363,3786,0.032,0.1354,0.1729,0.3733
1,2100001,2150000,2125483,3961,0.0354,0.1302,0.1789,0.39
1,2150001,2200000,2174943,2877,0.0215,0.1318,0.1852,0.4497
1,2200001,2250000,2226297,3767,0.0327,0.1224,0.161,0.3728
1,2250001,2300000,2276840,4014,0.0334,0.1176,0.1416,0.3245
1,2300001,2350000,2325985,3721,0.0427,0.1092,0.1367,0.2977
1,2350001,2400000,2374981,4376,0.0523,0.1044,0.1325,0.2623
1,2400001,2450000,2424011,4771,0.0498,0.1047,0.1332,0.2729
1,2450001,2500000,2474895,3789,0.0632,0.1235,0.1543,0.2511
1,2500001,2550000,2525361,4923,0.037,0.1229,0.1506,0.3254
1,2550001,2600000,2575632,5098,0.0493,0.1102,0.1591,0.3416
1,2600001,2650000,2621550,3808,0.0314,0.1239,0.1583,0.3658
1,2650001,2700000,2676913,3996,0.0321,0.128,0.1692,0.3825
1,2700001,2750000,2727008,3592,0.0394,0.1164,0.1538,0.3444
1,2750001,2800000,2773981,3898,0.0242,0.1222,0.1769,0.4458
1,2800001,2850000,2825045,3776,0.0405,0.1285,0.1598,0.3262
1,2850001,2900000,2879389,3222,0.041,0.1193,0.1523,0.3265
1,2900001,2950000,2927481,4244,0.0397,0.1078,0.1288,0.2852
1,2950001,3000000,2977441,3775,0.0529,0.1278,0.1478,0.2508
